BILLS OF MATERIALS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Tổng quỹ (VND),1.800.000 đ,Số quỹ còn lại (VND),1.800.000 đ,Tổng chi tiêu (VND),1.605.856 đ,Tổng tiền đã trích (VND),0 đ,,,
STT,Mã lô mua hàng,Người mua hàng,Đã giải ngân,Trạng thái đơn hàng,Link sản phẩm,Tên/Mô tả linh kiện,Số lượng/Đơn vị,Đơn vị đo,Hình thức,Cách thanh toán,Đơn giá (VND),Phí vận chuyển (VND),Tiền giảm giá (VND),Thành tiền (VND),Tổng tiền lô hàng (VND),Tổng tiền vận chuyển (VND),Tổng tiền giảm giá (VND),Tổng tiền (VND),Đã thanh toán,Bằng chứng mua hàng,Đã trích quỹ,Bằng chứng trích quỹ,Note
1,1,Khoa,FALSE,Đã nhận hàng,Shopee,Màn hình OLED 0.96 inch 128X64 I2C,2,Cái,Mua,Chuyển khoản,43.960 đ,0 đ,0 đ,87.920 đ,297.720 đ,37.300 đ,98.344 đ,236.676 đ,TRUE,C3 PoT,FALSE,[URL],Đã đặt hàng chờ thủ quỹ
2,,,,Đã nhận hàng,Shopee,Bảng mạch phát triển ESP32 CP2102 Type C,2,Cái,Mua,Chuyển khoản,104.900 đ,,0 đ,209.800 đ,,,,,,,,,
3,2,Khoa,FALSE,Đã hoàn đơn,Shopee,Hộp nhựa ABS 115x90x55mm,2,Cái,Mua,Chuyển khoản,15.000 đ,25.300 đ,31.300 đ,24.000 đ,174.336 đ,0 đ,0 đ,174.336 đ,TRUE,C4 PoT,FALSE,[URL],Hoàn đơn do size quá lớn
4,,,,Đã nhận hàng,Shopee,Tụ Hóa 1000uF 16V 8x20MM,2,cặp 5 cái,Mua,Chuyển khoản,5.000 đ,42.500 đ,44.500 đ,8.000 đ,,,,,,,,,Đã đặt hàng chờ thủ quỹ
5,,,,Đã nhận hàng,Shopee,con quay hồi chuyển 6 trục MPU 6050,2,Cái,Mua,Chuyển khoản,44.850 đ,23.400 đ,41.340 đ,71.760 đ,,,,,,,,,
6,,,,Đang vận chuyển,Shopee,TP5100 4.2v 8.4v Quản lý sạc pin lithium,2,cặp 2 cái,Mua,Chuyển khoản,20.790 đ,17.000 đ,25.316 đ,33.264 đ,,,,,,,,,
7,,,,Đang vận chuyển,Shopee,5 Chiếc Mini 360 DC-DC Buck,1,cặp 5 cái,Mua,Chuyển khoản,46.640 đ,17.000 đ,26.328 đ,37.312 đ,,,,,,,,,
8,3,Khoa,FALSE,Đang vận chuyển,Shopee,E32-433t20d UART Tầm xa 433 MHz,2,Cái,Mua,Chuyển khoản,189.030 đ,17.000 đ,85.051 đ,310.009 đ,310.009 đ,0 đ,0 đ,310.009 đ,TRUE,C5 PoT,FALSE,[URL],Đã đặt hàng chờ thủ quỹ
9,4,Khoa,FALSE,Đã nhận hàng,Shopee,Set 40 Dây Cáp Dupont 40pin F-F,1,dải 40pin,Mua,Chuyển khoản,11.400 đ,42.500 đ,47.341 đ,19.359 đ,200.074 đ,0 đ,0 đ,200.074 đ,TRUE,C6 PoT,FALSE,[URL],Đã đặt hàng chờ thủ quỹ
10,,,,Đã nhận hàng,Shopee,Set 40 Dây Cáp Dupont 40pin M-F,1,dải 40pin,Mua,Chuyển khoản,12.800 đ,,,,,,,,,,,,
